Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C2, C20, C4",1206,6,0.1uF,
"C14, C21, C22, C23, C9",1206,5,100nF,
C15,1206,1,4.7uF,
"C16, C17",1206,2,1uF,
C3,1206,1,10uF,
D1,1206,1,GREEN,
D2,1206,1,RED,
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J8,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Top_Bottom,
R1,1206,1,10K,
"R2, R3",1206,2,1K,
"R4, R5",1206,2,5.1K,
S1,B3SN3112P,1,B3SN-3112P,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328-A,
U2,SSOP-20_3.9x8.7mm_P0.635mm,1,FT231XS,
U4,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U5,SOT-23-5,1,AP2112K-3.3,
U6,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
Y1,AWSCR-8.00CV-T_ABR,1,8MHz,
