Designator,Mid X,Mid Y,Rotation,Layer
C1,-3.329988,28.191081,0.0,top
C14,12.870012,45.766081,90.0,top
C15,25.245013,43.691081,0.0,top
C16,19.095012,17.991081,180.0,top
C17,19.145012,20.491081,180.0,top
C18,-1.704988,36.691081,180.0,top
C19,0.795012,31.691081,180.0,top
C2,-5.729988,34.716081,90.0,top
C20,-1.704988,34.191081,180.0,top
C21,18.245012,12.191081,0.0,top
C22,5.795013,14.691081,180.0,top
C23,5.795013,17.191081,180.0,top
C3,-4.254987,30.691081,180.0,top
C4,21.270012,40.166081,90.0,top
C9,15.970013,45.666081,90.0,top
D1,18.770012,42.591081,90.0,top
D2,21.245013,45.091081,90.0,top
J1,25.845012,13.086081,0.0,top
J8,27.730013,32.921081,270.0,bottom
JP1,28.300012,28.391081,270.0,top
R1,-2.729988,24.228581,90.0,top
R2,26.245012,39.153581,270.0,top
R3,23.745012,39.191081,90.0,top
R4,29.670012,19.153581,90.0,top
R5,27.270012,19.153581,90.0,top
S1,5.270013,26.191081,0.0,top
U1,17.545012,32.528581,0.0,top
U2,12.390012,14.873581,90.0,top
U4,14.770012,40.691081,270.0,top
U5,23.795012,19.328581,270.0,top
U6,3.270012,35.691081,270.0,top
Y1,21.145012,25.191081,180.0,top
